Pclass,Age,Sex,Embarked,Survived
3rd,22.0,male,S,0
1st,38.0,female,C,1
3rd,26.0,female,S,1
1st,35.0,female,S,1
3rd,35.0,male,S,0
1st,54.0,male,S,0
3rd,2.0,male,S,0
3rd,27.0,female,S,1
2nd,14.0,female,C,1
3rd,4.0,female,S,1
1st,58.0,female,S,1
3rd,20.0,male,S,0
3rd,39.0,male,S,0
3rd,14.0,female,S,0
2nd,55.0,female,S,1
3rd,2.0,male,Q,0
3rd,31.0,female,S,0
2nd,35.0,male,S,0
2nd,34.0,male,S,1
3rd,15.0,female,Q,1
1st,28.0,male,S,1
3rd,8.0,female,S,0
3rd,38.0,female,S,1
1st,19.0,male,S,0
1st,40.0,male,C,0
2nd,66.0,male,S,0
1st,28.0,male,C,0
1st,42.0,male,S,0
3rd,21.0,male,S,0
3rd,18.0,female,S,0
3rd,14.0,female,C,1
3rd,40.0,female,S,0
2nd,27.0,female,S,0
2nd,3.0,female,C,1
3rd,19.0,female,Q,1
3rd,18.0,female,S,0
3rd,7.0,male,S,0
3rd,21.0,male,S,0
1st,49.0,female,C,1
2nd,29.0,female,S,1
1st,65.0,male,C,0
2nd,21.0,female,S,1
3rd,28.5,male,C,0
2nd,5.0,female,S,1
3rd,11.0,male,S,0
3rd,22.0,male,C,0
1st,45.0,male,S,0
3rd,4.0,male,S,0
2nd,29.0,female,S,1
3rd,19.0,male,S,0
3rd,17.0,female,S,1
3rd,26.0,male,S,0
2nd,32.0,male,S,0
3rd,16.0,female,S,0
2nd,21.0,male,S,0
3rd,26.0,male,C,0
3rd,32.0,male,S,1
3rd,25.0,male,S,0
2nd,0.83,male,S,1
3rd,30.0,female,S,1
3rd,22.0,male,S,0
3rd,29.0,male,S,1
1st,28.0,male,S,0
2nd,17.0,female,S,1
3rd,33.0,female,S,1
3rd,16.0,male,S,0
1st,23.0,female,S,1
3rd,24.0,male,S,0
3rd,29.0,male,S,0
3rd,20.0,male,S,0
1st,46.0,male,S,0
3rd,26.0,male,S,0
3rd,59.0,male,S,0
1st,71.0,male,C,0
1st,23.0,male,C,1
2nd,34.0,female,S,1
2nd,34.0,male,S,0
3rd,28.0,female,S,0
1st,21.0,male,S,0
3rd,33.0,male,S,0
3rd,37.0,male,S,0
3rd,28.0,male,S,0
3rd,21.0,female,S,1
3rd,38.0,male,S,0
1st,47.0,male,S,0
3rd,14.5,female,C,0
3rd,22.0,male,S,0
3rd,20.0,female,S,0
3rd,17.0,female,C,0
3rd,21.0,male,S,0
3rd,70.5,male,Q,0
2nd,29.0,male,S,0
1st,24.0,male,C,0
3rd,2.0,female,S,0
2nd,21.0,male,S,0
2nd,32.5,male,C,0
2nd,32.5,female,S,1
1st,54.0,male,S,0
3rd,12.0,male,C,1
3rd,24.0,male,S,1
3rd,45.0,male,S,0
3rd,33.0,male,C,0
3rd,20.0,male,S,0
3rd,47.0,female,S,0
2nd,29.0,female,S,1
2nd,25.0,male,S,0
2nd,23.0,male,C,0
1st,19.0,female,S,1
1st,37.0,male,S,0
3rd,16.0,male,S,0
1st,24.0,male,C,0
3rd,22.0,female,S,1
3rd,24.0,female,S,1
3rd,19.0,male,Q,0
2nd,18.0,male,S,0
2nd,19.0,male,S,0
3rd,27.0,male,S,1
3rd,9.0,female,S,0
2nd,36.5,male,S,0
2nd,42.0,male,S,0
2nd,51.0,male,S,0
1st,22.0,female,S,1
3rd,55.5,male,S,0
3rd,40.5,male,S,0
1st,51.0,male,C,0
3rd,16.0,female,Q,1
3rd,30.0,male,S,0
3rd,44.0,male,S,0
2nd,40.0,female,S,1
3rd,26.0,male,S,0
3rd,17.0,male,S,0
3rd,1.0,male,S,0
3rd,9.0,male,S,1
3rd,45.0,female,S,0
3rd,28.0,male,S,0
1st,61.0,male,S,0
3rd,4.0,male,Q,0
3rd,1.0,female,S,1
3rd,21.0,male,S,0
1st,56.0,male,C,0
3rd,18.0,male,S,0
1st,50.0,female,C,0
2nd,30.0,male,S,0
3rd,36.0,male,S,0
3rd,9.0,male,S,0
2nd,1.0,male,S,1
3rd,4.0,female,S,1
1st,45.0,male,S,1
3rd,40.0,male,Q,0
3rd,36.0,male,S,0
2nd,32.0,female,S,1
